Date & Time,use [kW],gen [kW],Grid [kW],AC [kW],Furnace [kW],Cellar Lights [kW],Washer [kW],First Floor lights [kW],Utility Rm + Basement Bath [kW],Garage outlets [kW],MBed + KBed outlets [kW],Dryer + egauge [kW],Panel GFI (central vac) [kW],Home Office (R) [kW],Dining room (R) [kW],Microwave (R) [kW],Fridge (R) [kW]
2014-01-01 00:00:00,0.304439444,0.0,0.304439444,5.7778e-05,0.009531111,0.005335556,0.000125556,0.011175,0.003836111,0.004836111,0.002132222,8.889e-06,0.007158889,0.063666111,0.004299444,0.004733333,0.042589444
2014-01-01 00:30:00,0.656771111,0.0,0.656771111,0.001534444,0.364338333,0.005522222,4.3333e-05,0.003514444,0.003511667,0.004887778,0.002136667,0.000106667,0.007221111,0.064697778,0.003588889,0.004445,0.096007778
2014-01-01 01:00:00,0.612895,0.0,0.612895,0.001846667,0.417988889,0.005503889,4.4444e-05,0.003527778,0.003483889,0.004929444,0.002051667,0.00017,0.007197222,0.065108889,0.003521667,0.004396111,0.025927778
2014-01-01 01:30:00,0.683979444,0.0,0.683979444,0.001744444,0.410652778,0.005556111,5.9444e-05,0.003498889,0.003476111,0.004910556,0.002067778,0.000121111,0.007236111,0.065031667,0.003403889,0.004261667,0.105471667
2014-01-01 02:00:00,0.197808889,0.0,0.197808889,3e-05,0.017152222,0.005301667,0.000118889,0.003693889,0.003865,0.004875556,0.002087222,5.2222e-05,0.007132778,0.062451111,0.003915,0.004407222,0.016797778
2014-01-01 02:30:00,0.397098889,0.0,0.397098889,0.000442222,0.12696,0.005415,5.4444e-05,0.003626667,0.003748889,0.004891111,0.002132778,2.4444e-05,0.007186667,0.063814444,0.003812778,0.004397778,0.106717222
2014-01-01 03:00:00,0.590318889,0.0,0.590318889,0.001857778,0.420358333,0.005508889,4.3333e-05,0.003562222,0.003541111,0.005006667,0.002071667,0.000196667,0.007207778,0.065276667,0.003007778,0.004008333,0.006479444
2014-01-01 03:30:00,0.538265556,0.0,0.538265556,0.001070556,0.257654444,0.005507222,2e-05,0.003581667,0.003549444,0.004837222,0.002135556,4.6667e-05,0.007197778,0.063142222,0.004141667,0.004565,0.121087778
2014-01-01 04:00:00,0.189186667,0.0,0.189186667,5.5556e-05,0.009462222,0.005302222,0.000141111,0.003707778,0.003836667,0.004858333,0.002085556,3.4444e-05,0.007107222,0.070109444,0.004201667,0.004704444,0.011131111
2014-01-01 04:30:00,0.653231667,0.0,0.653231667,0.001662778,0.387636667,0.005551667,3.2778e-05,0.003532222,0.003463333,0.004877778,0.002112222,0.000117778,0.007203333,0.06445,0.003668889,0.004193889,0.104737222
